title,author,length
Invent,Dakota Krout,Length: 12 hrs and 14 mins
Unfiltered,Rachel Pedersen,Length: 6 hrs and 10 mins
The Ink Black Heart,Robert Galbraith,Length: 32 hrs and 42 mins
Changing the Game,Bella Matthews,Length: 8 hrs and 26 mins
Bastille vs. the Evil Librarians,"Brandon Sanderson,Janci Patterson",Length: 4 hrs and 52 mins
"Clockwork, Revised and Expanded","Mike Michalowicz,Gino Wickman - foreword",Length: 8 hrs and 54 mins
Ca$hvertising,Drew Eric Whitman,Length: 6 hrs and 17 mins
Akata Woman,Nnedi Okorafor,Length: 13 hrs and 17 mins
The Score Takes Care of Itself,"Bill Walsh,Craig Walsh,Steve Jamison",Length: 10 hrs and 48 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
The Masculine in Relationship,GS Youngblood,Length: 7 hrs and 47 mins
Happy Days,Gabrielle Bernstein,Length: 6 hrs and 11 mins
Changing the Game,Bella Matthews,Length: 8 hrs and 26 mins
Archer's Voice,Mia Sheridan,Length: 11 hrs and 7 mins
The Personal MBA: Master the Art of Business,Josh Kaufman,Length: 15 hrs and 25 mins
The Great Gatsby,F. Scott Fitzgerald,Length: 4 hrs and 49 mins
Profit First,Mike Michalowicz,Length: 8 hrs and 35 mins
The Mountain Is You,Brianna Wiest,Length: 5 hrs and 44 mins
Act of Oblivion,Robert Harris,Length: 15 hrs and 41 mins
Bitter Sweet Heart,"H. Hunting,Helena Hunting",Length: 11 hrs and 42 mins
Walking in My Joy,Jenifer Lewis,Length: 7 hrs and 27 mins
All the Missing Girls,Megan Miranda,Length: 10 hrs and 5 mins
On Killing,Lt. Col. Dave Grossman,Length: 10 hrs and 23 mins
Invisible Man,Ralph Ellison,Length: 18 hrs and 36 mins
The Day the World Came to Town,Jim DeFede,Length: 6 hrs and 28 mins
Conversations with Friends,Sally Rooney,Length: 8 hrs and 21 mins
Invisible Man,Ralph Ellison,Length: 18 hrs and 36 mins
The Day the World Came to Town,Jim DeFede,Length: 6 hrs and 28 mins
Number the Stars,Lois Lowry,Length: 2 hrs and 45 mins
"The China Study, Revised and Expanded Edition","T. Colin Campbell PhD,Thomas M. Campbell II MD",Length: 18 hrs and 2 mins
Heartless Sky,"Caroline Peckham,Susanne Valenti",Length: 30 hrs and 10 mins
One True Loves,Taylor Jenkins Reid,Length: 8 hrs and 5 mins
A Little Life,Hanya Yanagihara,Length: 32 hrs and 51 mins
Meet Me There,K.M. Neuhold,Length: 7 hrs and 9 mins
The Poisonwood Bible,Barbara Kingsolver,Length: 15 hrs and 34 mins
The Fisherman,John Langan,Length: 11 hrs and 27 mins
Unlock Your Potential,Jeff Lerner,Length: 12 hrs and 42 mins
Survival of the Richest,Douglas Rushkoff,Length: 6 hrs and 18 mins
The Monkey Wrench Gang,Edward Abbey,Length: 16 hrs and 41 mins
Grandma Gatewood's Walk,Ben Montgomery,Length: 7 hrs and 54 mins
Salt to the Sea,Ruta Sepetys,Length: 8 hrs and 47 mins
Love's Executioner,Irvin D. Yalom,Length: 10 hrs and 57 mins
Left of Bang,"Patrick Van Horne,Jason A. Riley",Length: 5 hrs and 57 mins
Solve for Happy,Mo Gawdat,Length: 11 hrs and 12 mins
A Land Remembered,Patrick D. Smith,Length: 14 hrs and 59 mins
March,Geraldine Brooks,Length: 10 hrs and 19 mins
"The Great Game of Business, Expanded and Updated","Jack Stack,Bo Burlingham",Length: 7 hrs and 7 mins
And Then There Were None,Agatha Christie,Length: 6 hrs and 1 min
Nonviolent Communication,Marshall Rosenberg PhD,Length: 5 hrs and 9 mins
The Giver,Lois Lowry,Length: 4 hrs and 49 mins
One Second After,William R. Forstchen,Length: 13 hrs and 17 mins
Red Notice,Bill Browder,Length: 14 hrs and 7 mins
Secrets of the Millionaire Mind,T. Harv Eker,Length: 5 hrs and 10 mins
The Lean Startup,Eric Ries,Length: 8 hrs and 38 mins
The Prince,Niccolo Machiavelli,Length: 4 hrs and 47 mins
Between the World and Me,Ta-Nehisi Coates,Length: 3 hrs and 35 mins
The Bell Jar,Sylvia Plath,Length: 7 hrs and 24 mins
Down the Rabbit Hole,Holly Madison,Length: 10 hrs and 51 mins
Their Eyes Were Watching God,Zora Neale Hurston,Length: 6 hrs and 44 mins
The Seat of the Soul,Gary Zukav,Length: 10 hrs and 12 mins
Freakonomics,"Steven D. Levitt,Stephen J. Dubner",Length: 7 hrs and 51 mins
The Guns of August,Barbara W. Tuchman,Length: 19 hrs and 9 mins
Why Does He Do That?,Lundy Bancroft,Length: 13 hrs and 32 mins
The Power of Moments,"Chip Heath,Dan Heath",Length: 6 hrs and 24 mins
A Thousand Splendid Suns,Khaled Hosseini,Length: 11 hrs and 43 mins
Undaunted Courage,Stephen E. Ambrose,Length: 21 hrs and 40 mins
Fear and Loathing in Las Vegas,Hunter S. Thompson,Length: 6 hrs
What Got You Here Won't Get You There,"Marshall Goldsmith,Mark Reiter",Length: 9 hrs and 39 mins
The Celestine Prophecy,James Redfield,Length: 8 hrs and 27 mins
Made to Stick,"Chip Heath,Dan Heath",Length: 8 hrs and 37 mins
Knowing God,J. I. Packer,Length: 10 hrs
Flow,Mihaly Csikszentmihalyi Ph.D.,Length: 5 hrs and 31 mins
Unrestricted Warfare,"Qiao Liang,Wang Xiangsui",Length: 7 hrs and 32 mins
Surviving My Birthright,"Casey Hammer,Heather McDonald - foreword",Length: 7 hrs and 36 mins
Our Missing Hearts,Celeste Ng,Length: 9 hrs and 51 mins
The Hunted,Jeff Wheeler,Length: 9 hrs and 2 mins
Robert B. Parker's Fallout,Mike Lupica,Length: 8 hrs and 9 mins
Unmanageable,"Leslie McAdam,Heart Eyes Press LGBTQ",Length: 6 hrs and 45 mins
The Medieval Legacy,"Carol Symes,The Great Courses",Length: 18 hrs and 15 mins
Black Marxism,"Cedric J. Robinson,Robin D.G. Kelley - foreword,Tiffany Willoughby-Herard - preface,Damien Sojoyner - preface",Length: 20 hrs
Murder in the Library,Katie Gayle,Length: 7 hrs and 6 mins
Long Live the Pumpkin Queen,Shea Ernshaw,Length: 6 hrs and 28 mins
Fangs Out,"J.N. Chaney,Chris Kennedy",Length: 9 hrs and 42 mins
The Throne of Fire,Rick Riordan,Length: 12 hrs and 55 mins
On Repentance and Repair,Danya Ruttenberg,Length: 9 hrs and 21 mins
Raising Emotionally Strong Boys,"David Thomas LMSW,Sissy Goff - foreword",Length: 5 hrs and 4 mins
Husband Material,Alexis Hall,Length: 13 hrs and 35 mins
The Big Lie,Jonathan Lemire,Length: 10 hrs and 20 mins
Help Is Here,Max Lucado,Length: 4 hrs and 38 mins
What She Found,Robert Dugoni,Length: 10 hrs and 1 min
Me and Paul,"Willie Nelson,David Ritz - contributor",Length: 4 hrs and 48 mins
The Steal Like an Artist Audio Trilogy,Austin Kleon,Length: 4 hrs and 32 mins
In the Shadow of Love,J.E. Leak,Length: 10 hrs and 56 mins
Remnant Faction,Glynn Stewart,Length: 11 hrs and 29 mins
Womb Awakening,"Azra Bertrand MD,Seren Bertrand",Length: 24 hrs and 52 mins
The Mistress of Longbourn,Jann Rowland,Length: 16 hrs and 5 mins
Eversion,Alastair Reynolds,Length: 10 hrs and 3 mins
Algorithms to Live By,"Brian Christian,Tom Griffiths",Length: 11 hrs and 50 mins
East of Eden,John Steinbeck,Length: 25 hrs and 23 mins
Signal Moon,Kate Quinn,Length: 1 hr and 22 mins
The Millionaire's Wife,Shalini Boland,Length: 7 hrs and 25 mins
Undisputed Truth,"Mike Tyson,Larry Sloman",Length: 20 hrs and 46 mins
Heart of the Pack,Lisa Edmonds,Length: 8 hrs and 36 mins
Waiting for a Love Song,Jaime Clevenger,Length: 8 hrs and 45 mins
Pine Cove: The Complete Series,HJ Welch,Length: 59 hrs and 26 mins
Signal Moon,Kate Quinn,Length: 1 hr and 22 mins
The Millionaire's Wife,Shalini Boland,Length: 7 hrs and 25 mins
The Invention of Nature,Andrea Wulf,Length: 14 hrs and 3 mins
Undisputed Truth,"Mike Tyson,Larry Sloman",Length: 20 hrs and 46 mins
Heart of the Pack,Lisa Edmonds,Length: 8 hrs and 36 mins
Waiting for a Love Song,Jaime Clevenger,Length: 8 hrs and 45 mins
Pine Cove: The Complete Series,HJ Welch,Length: 59 hrs and 26 mins
Blue Shift,"J.N. Chaney,Terry Maggert",Length: 11 hrs and 20 mins
Extreme Weight Loss Hypnosis for Women,Elizabeth Adams,Length: 10 hrs and 1 min
The Last Text,Alice Winters,Length: 3 hrs and 55 mins
What Lies Beyond the Veil,Harper L. Woods,Length: 13 hrs and 1 min
Wonder,R. J. Palacio,Length: 7 hrs and 10 mins
Big Chicas Don't Cry,Annette Chavez Macias,Length: 10 hrs and 52 mins
Mission One,Samuel Best,Length: 10 hrs and 9 mins
Life 3.0,Max Tegmark,Length: 13 hrs and 29 mins
The Forever War,Joe Haldeman,Length: 9 hrs and 18 mins
Great by Choice,"Jim Collins,Morten T. Hansen",Length: 8 hrs and 45 mins
The Communist Manifesto,Karl Marx,Length: 1 hr and 34 mins
The Gene,Siddhartha Mukherjee,Length: 19 hrs and 22 mins
I Contain Multitudes,Ed Yong,Length: 9 hrs and 52 mins
The Weight of Ink,Rachel Kadish,Length: 23 hrs and 19 mins
Flirting with Monsters,Eva Chase,Length: 32 hrs and 13 mins
Beware of Chicken: A Xianxia Cultivation Novel,Casualfarmer,Length: 12 hrs and 35 mins
The Golem and the Jinni,Helene Wecker,Length: 19 hrs and 42 mins
A Really Good Day,Ayelet Waldman,Length: 7 hrs and 37 mins
Lemuria,Greig Beck,Length: 11 hrs and 7 mins
Servants of the Damned,David Enrich,Length: 10 hrs and 44 mins
They Knew,Sarah Kendzior,Length: 9 hrs and 49 mins
Scenes from My Life,"Michael K. Williams,Jon Sternfeld",Length: 6 hrs and 50 mins
The Lost Girls of Willowbrook,Ellen Marie Wiseman,Length: 13 hrs and 13 mins
Ruination,Anthony Reynolds,Length: 12 hrs and 50 mins
The American Roommate Experiment,Elena Armas,Length: 14 hrs and 47 mins
Bully Market,Jamie Fiore Higgins,Length: 8 hrs and 41 mins
Platonic,Marisa G. Franco,Length: 10 hrs and 57 mins
Slouching Towards Utopia,J. Bradford DeLong,Length: 20 hrs and 13 mins
Critical Role: The Mighty Nein--The Nine Eyes of Lucien,"Madeleine Roux,Critical Role",Length: Not Yet Known
Farewells and Forever,Heather Long,Length: 7 hrs and 48 mins
Solaris,"Stanislaw Lem,Bill Johnston - translator",Length: 7 hrs and 42 mins
The Master and Margarita,Mikhail Bulgakov,Length: 16 hrs and 52 mins
Helter Skelter,"Vincent Bugliosi,Curt Gentry",Length: 26 hrs and 29 mins
"Strong Fathers, Strong Daughters",Meg Meeker,Length: 7 hrs and 4 mins
The Palace Papers,Tina Brown,Length: 17 hrs and 56 mins
Mean Baby,Selma Blair,Length: 9 hrs and 43 mins
Dark Class,Michelle Diener,Length: 13 hrs
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Length: 12 hrs and 10 mins
Mafia Obsession,L. Steele,Length: 11 hrs and 57 mins
The Once and Future King,T. H. White,Length: 33 hrs
The Exorcist,William Peter Blatty,Length: 12 hrs and 51 mins
How to Raise an Adult,Julie Lythcott-Haims,Length: 12 hrs and 31 mins
If We Were Villains,M. L. Rio,Length: 12 hrs and 50 mins
In the Long Run,Haley Cass,Length: 16 hrs and 23 mins
The Primal Hunter 3,Zogarth,Length: 18 hrs and 23 mins
"A Patriot’s History of the United States, Updated Edition","Larry Schweikart,Michael Allen",Length: 55 hrs and 43 mins
An Unquiet Mind,Kay Redfield Jamison,Length: 2 hrs and 46 mins
How to Master the Art of Selling,Tom Hopkins,Length: 15 hrs and 28 mins
Peak,"Robert Pool,Anders Ericsson",Length: 10 hrs
Who,"Geoff Smart,Randy Street",Length: 4 hrs and 47 mins
Play Bigger,"Alan Ramadan,Dave Peterson,Christopher Lochhead,Kevin Maney",Length: 8 hrs and 7 mins
The Fourth Monkey,J. D. Barker,Length: 12 hrs and 32 mins
The Sign of the Beaver,Elizabeth George Speare,Length: 3 hrs and 11 mins
How to Master the Art of Selling,Tom Hopkins,Length: 15 hrs and 28 mins
Who,"Geoff Smart,Randy Street",Length: 4 hrs and 47 mins
Play Bigger,"Alan Ramadan,Dave Peterson,Christopher Lochhead,Kevin Maney",Length: 8 hrs and 7 mins
The Sign of the Beaver,Elizabeth George Speare,Length: 3 hrs and 11 mins
The House of God,Samuel Shem,Length: 14 hrs and 54 mins
Monster,Walter Dean Myers,Length: 2 hrs and 35 mins
The Fourth Monkey,J. D. Barker,Length: 12 hrs and 32 mins
Gilded Ghost,Kyle Kirrin,Length: 21 hrs and 28 mins
The Art of Seduction,Robert Greene,Length: 5 hrs and 9 mins
The Inn on Harmony Island,Anne-Marie Meyer,Length: 7 hrs and 13 mins
The Tiger,John Vaillant,Length: 12 hrs and 5 mins
A Tale for the Time Being,Ruth Ozeki,Length: 14 hrs and 43 mins
Dark Whispers from Beyond,I. T. Lucas,Length: 8 hrs and 14 mins
Elusive Relations,Nicky James,Length: 11 hrs and 37 mins
How Will You Measure Your Life?,"Clayton M. Christensen,James Allworth",Length: 5 hrs and 28 mins
The Other Einstein,Marie Benedict,Length: 8 hrs and 30 mins
Tao Te Ching,"Stephen Mitchell,Lao Tzu",Length: 1 hr and 41 mins
Addicted to You,"Krista Ritchie,Becca Ritchie",Length: 12 hrs and 3 mins
The Omnivore's Dilemma,Michael Pollan,Length: 15 hrs and 53 mins
Why Zebras Don't Get Ulcers,Robert Sapolsky,Length: 17 hrs and 16 mins
13 Things Mentally Strong People Don't Do,Amy Morin,Length: 6 hrs and 36 mins
On the Road,Jack Kerouac,Length: 11 hrs and 8 mins
The Mindbody Prescription,John E. Sarno M.D.,Length: 7 hrs and 4 mins
Pre-Suasion,Robert B. Cialdini,Length: 9 hrs and 24 mins
The Cost of Discipleship,Dietrich Bonhoeffer,Length: 9 hrs
Say You Swear,Meagan Brandy,Length: 17 hrs and 4 mins
Endurance,Alfred Lansing,Length: 10 hrs and 20 mins
The Purpose Driven Life,Rick Warren,Length: 9 hrs and 38 mins
The Big Leap,Gay Hendricks,Length: 5 hrs and 27 mins
Pachinko,Min Jin Lee,Length: 18 hrs and 16 mins
Diana,Andrew Morton,Length: 13 hrs and 2 mins
Psycho-Cybernetics,Maxwell Maltz,Length: 12 hrs and 16 mins
The Goal,"Eliyahu M. Goldratt,Jeff Cox",Length: 11 hrs and 45 mins
Shantaram,Gregory David Roberts,Length: 42 hrs and 59 mins
The Things They Carried,Tim O'Brien,Length: 7 hrs and 47 mins
Beloved,Toni Morrison,Length: 12 hrs and 3 mins
The Hate U Give,Angie Thomas,Length: 11 hrs and 50 mins
Titan,Ron Chernow,Length: 35 hrs and 3 mins
Genghis Khan and the Making of the Modern World,Jack Weatherford,Length: 14 hrs and 20 mins
Just Mercy (Movie Tie-In Edition),Bryan Stevenson,Length: 11 hrs and 11 mins
Hillbilly Elegy,J. D. Vance,Length: 6 hrs and 49 mins
As a Man Thinketh,James Allen,Length: 55 mins
Wildflower,Drew Barrymore,Length: 7 hrs and 5 mins
Napoleon,Andrew Roberts,Length: 32 hrs and 56 mins
Based on a True Story,Norm Macdonald,Length: 7 hrs and 18 mins
The Unseen Realm,Dr. Michael S. Heiser,Length: 15 hrs and 43 mins
Homegoing,Yaa Gyasi,Length: 13 hrs and 11 mins
The TB12 Method,Tom Brady,Length: 6 hrs and 55 mins
We Have Always Lived in the Castle,Shirley Jackson,Length: 5 hrs and 32 mins
The Power Broker,Robert A. Caro,Length: 66 hrs and 9 mins
Scaling Up,Verne Harnish,Length: 8 hrs and 49 mins
Oh Crap! Potty Training,Jamie Glowacki,Length: 8 hrs and 4 mins
Life of Pi,Yann Martel,Length: 12 hrs and 53 mins
The Shack,William P. Young,Length: 9 hrs and 15 mins
Father of the Mountain,Torsten Weitze,Length: 21 hrs and 2 mins
The Leadership Challenge Sixth Edition,"James M. Kouzes,Barry Posner",Length: 11 hrs and 4 mins
The Last Kingdom,Bernard Cornwell,Length: 13 hrs and 28 mins
Pre-Suasion,Robert B. Cialdini,Length: 9 hrs and 24 mins
The Five People You Meet in Heaven,Mitch Albom,Length: 4 hrs and 38 mins
Running on Empty,"Christine Musello PsyD,Jonice Webb PhD",Length: 7 hrs and 46 mins
Scrappy Little Nobody,Anna Kendrick,Length: 6 hrs
Manufacturing Consent,"Edward S. Herman,Noam Chomsky",Length: 15 hrs and 24 mins
The Mindbody Prescription,John E. Sarno M.D.,Length: 7 hrs and 4 mins
The Book of Goose,Yiyun Li,Length: 9 hrs and 2 mins
Royally Rearranged,Emma St. Clair,Length: 10 hrs and 25 mins
Complaint!,Sara Ahmed,Length: 14 hrs and 32 mins
Good Inside,Becky Kennedy,Length: 9 hrs and 55 mins
The Story of Russia,Orlando Figes,Length: 12 hrs and 41 mins
Reckoning,Catherine Coulter,Length: 11 hrs and 50 mins
Fury,Nicoli Gonnella,Length: 23 hrs and 37 mins
The Fifth Season,N. K. Jemisin,Length: 15 hrs and 27 mins
Hatchet,Gary Paulsen,Length: 3 hrs and 42 mins
Fanatical Prospecting,Jeb Blount,Length: 8 hrs and 21 mins
The Hero with a Thousand Faces,Joseph Campbell,Length: 14 hrs and 37 mins
Gone Girl,Gillian Flynn,Length: 19 hrs and 57 mins
The Boys in the Boat,Daniel James Brown,Length: 14 hrs and 24 mins
Bossypants,Tina Fey,Length: 5 hrs and 32 mins
Alexander Hamilton,Ron Chernow,Length: 35 hrs and 58 mins
A Wizard of Earthsea,Ursula K. Le Guin,Length: 7 hrs and 17 mins
Neuromancer,William Gibson,Length: 10 hrs and 31 mins
The Road,Cormac McCarthy,Length: 6 hrs and 39 mins
Debt - Updated and Expanded,David Graeber,Length: 17 hrs and 48 mins
The Power of Your Subconscious Mind,Joseph Murphy,Length: 6 hrs and 58 mins
The Advantage,Patrick Lencioni,Length: 5 hrs and 25 mins
When Breath Becomes Air,"Paul Kalanithi,Abraham Verghese - foreword",Length: 5 hrs and 35 mins
A Wrinkle in Time,Madeleine L'Engle,Length: 6 hrs and 27 mins
Charlotte's Web,E. B. White,Length: 3 hrs and 34 mins
Matilda,Roald Dahl,Length: 4 hrs and 18 mins
Wild at Heart,John Eldredge,Length: 8 hrs and 20 mins
Year of Yes,Shonda Rhimes,Length: 7 hrs and 4 mins
Practical Magic,Alice Hoffman,Length: 9 hrs and 12 mins
Ikigai,"Héctor García,Francesc Miralles",Length: 3 hrs and 18 mins
The Ideal Team Player,Patrick M. Lencioni,Length: 5 hrs and 3 mins
Journey of Souls,Michael Newton,Length: 11 hrs and 18 mins
"The Go-Giver, Expanded Edition","Bob Burg,John David Mann",Length: 2 hrs and 54 mins
Into the Wild,Jon Krakauer,Length: 7 hrs and 5 mins
Station Eleven (Television Tie-in),Emily St. John Mandel,Length: 10 hrs and 40 mins
"Creativity, Inc.","Ed Catmull,Amy Wallace",Length: 12 hrs and 52 mins
The Goldfinch,Donna Tartt,Length: 32 hrs and 24 mins
In Order to Live,Yeonmi Park,Length: 9 hrs and 37 mins
Rocket Fuel,"Gino Wickman,Mark C. Winters",Length: 4 hrs and 26 mins
How Emotions Are Made,Lisa Feldman Barrett,Length: 14 hrs and 32 mins
The Universe Has Your Back,Gabrielle Bernstein,Length: 4 hrs and 30 mins
Off to Be the Wizard,Scott Meyer,Length: 10 hrs and 45 mins
A Child Called 'It',David Pelzer,Length: 3 hrs and 46 mins
The Speed of Trust,Stephen M. R. Covey,Length: 12 hrs and 13 mins
Kindred,Octavia E. Butler,Length: 10 hrs and 55 mins
Captivate,Vanessa Van Edwards,Length: 7 hrs and 28 mins
Switch,"Dan Heath,Chip Heath",Length: 7 hrs and 43 mins
1491,Charles C. Mann,Length: 16 hrs and 17 mins
Antifragile,Nassim Nicholas Taleb,Length: 16 hrs and 14 mins
A Return to Love,Marianne Williamson,Length: 2 hrs and 40 mins
They Both Die at the End,Adam Silvera,Length: 8 hrs and 30 mins
Lords of Finance,Liaquat Ahamed,Length: 18 hrs and 32 mins
The Road Less Traveled,M. Scott Peck M.D.,Length: 4 hrs and 23 mins
Loving What Is,"Byron Katie,Stephen Mitchell",Length: 9 hrs and 7 mins
Turtles All the Way Down,John Green,Length: 7 hrs and 12 mins
John Dies at the End,David Wong,Length: 14 hrs and 17 mins
Contagious,Jonah Berger,Length: 6 hrs and 50 mins
The Mists of Avalon,Marion Zimmer Bradley,Length: 50 hrs and 53 mins
Switch,"Dan Heath,Chip Heath",Length: 7 hrs and 43 mins
Kindred,Octavia E. Butler,Length: 10 hrs and 55 mins
Antifragile,Nassim Nicholas Taleb,Length: 16 hrs and 14 mins
A Return to Love,Marianne Williamson,Length: 2 hrs and 40 mins
Lords of Finance,Liaquat Ahamed,Length: 18 hrs and 32 mins
The Road Less Traveled,M. Scott Peck M.D.,Length: 4 hrs and 23 mins
Loving What Is,"Byron Katie,Stephen Mitchell",Length: 9 hrs and 7 mins
Turtles All the Way Down,John Green,Length: 7 hrs and 12 mins
John Dies at the End,David Wong,Length: 14 hrs and 17 mins
1491,Charles C. Mann,Length: 16 hrs and 17 mins
Contagious,Jonah Berger,Length: 6 hrs and 50 mins
The Mists of Avalon,Marion Zimmer Bradley,Length: 50 hrs and 53 mins
The Game,Neil Strauss,Length: 9 hrs and 27 mins
The Easy Way to Stop Smoking,Allen Carr,Length: 5 hrs and 59 mins
The Charisma Myth,Olivia Fox Cabane,Length: 8 hrs and 20 mins
"Eat, Pray, Love",Elizabeth Gilbert,Length: 12 hrs and 49 mins
The Ramona Quimby Audio Collection,"Beverly Cleary,Tracy Dockray",Length: 18 hrs and 56 mins
The Monk Who Sold His Ferrari,Robin Sharma,Length: 6 hrs and 34 mins
So Good They Can't Ignore You,Cal Newport,Length: 6 hrs and 28 mins
Narrative of the Life of Frederick Douglass,Frederick Douglass,Length: 4 hrs and 12 mins
"The Conversion Code, 2nd Edition",Chris Smith,Length: 8 hrs and 45 mins
Gleam,Raven Kennedy,Length: 21 hrs and 1 min
